ALTEZZA PESO TORACE CRANIO BISACROM BITROCAN SPAN
153 44 78 53 33 25 153
151 53 84 53 35 28 159
151 40 72 53 35 28 159
160 42 73 53 36 27 160
141 29 62 53 31 24 135
141 40 73 53 31 23 138
147 36 68 53 33 26 148
146 35 67 53 29 22 147
141 35 65 53 32 24 146
146 37 71 53 35 26 145
153 37 66 53 37 27 158
146 40 68 53 30 24 144
159 44 74 53 38 29 162
141 30 66 53 32 23 141
160 42 73 53 36 26 155
147 37 69 53 34 25 158
147 43 71 53 33 26 150
141 31 66 53 31 23 142
141 36 69 53 33 24 143
141 32 68 53 31 23 142
146 34 66 53 32 23 146
151 40 74 53 37 27 152
146 46 78 53 34 27 145
142 33 68 53 32 23 137
159 49 78 53 37 26 160
142 31 66 53 30 21 139
144 34 66 53 33 23 142
160 46 76 53 34 29 158
144 43 76 53 31 24 141
148 45 77 53 34 26 159
142 30 64 53 31 23 140
148 40 73 53 32 25 145
142 31 75 53 30 23 142
130 26 65 53 38 22 154
160 45 76 53 37 26 169
132 24 60 53 28 20 140
142 39 73 53 30 23 140
156 39 75 53 34 23 160
144 50 82 53 33 26 141
150 47 76 53 38 29 155
130 32 69 53 28 23 130
145 35 69 53 33 24 150
145 33 67 53 32 25 146
145 38 71 53 33 25 150
158 43 76 53 35 26 159
155 42 71 53 35 26 162
142 34 70 53 30 24 145
145 40 75 53 32 25 150
145 34 67 53 32 24 150
155 41 71 53 32 27 152
130 40 76 53 34 28 137
148 37 70 53 33 25 149
148 39 73 53 31 26 155
148 33 64 53 33 21 150
161 48 78 53 36 27 164
142 35 72 53 31 24 145
158 49 75 53 39 29 147
150 43 74 53 36 25 154
145 48 77 53 32 25 147
155 40 71 53 33 25 154
145 36 66 53 31 24 142
145 31 64 53 30 20 142
161 45 77 53 38 27 154
142 31 68 53 32 22 144
142 34 67 53 28 24 144
133 30 65 53 29 21 136
142 36 67 53 31 24 144
156 48 74 53 36 26 158
158 45 74 53 36 27 154
145 36 72 53 31 24 144
145 36 74 53 31 24 144
145 51 81 53 34 26 144
158 43 72 53 34 28 158
145 33 65 53 32 23 144
148 48 84 53 38 28 150
143 32 68 53 32 25 125
144 38 74 53 32 25 145
143 44 79 53 32 24 145
148 48 77 53 32 27 145
144 32 66 53 32 21 146
156 40 71 53 33 24 157
144 30 65 53 32 24 140
135 30 63 53 29 21 133
144 35 69 53 32 24 146
149 47 75 53 35 26 153
143 39 76 53 32 25 147
153 44 75 53 35 28 155
148 47 82 53 33 26 151
144 34 68 53 32 22 147
144 42 71 53 32 26 148
162 51 88 53 38 25 158
148 36 70 53 32 24 143
143 38 73 53 32 24 144
163 49 78 53 36 27 164
143 36 71 53 32 25 153
163 41 72 53 37 27 164
143 36 70 53 32 24 146
150 54 88 53 38 28 150
143 42 75 53 33 27 154
149 37 70 53 34 26 147
162 56 80 53 37 29 164
144 36 71 53 32 24 146
162 48 74 53 36 26 162
143 45 77 53 33 26 141
143 42 75 53 34 24 135
149 38 71 53 35 26 150
144 39 76 53 35 24 144
144 36 65 53 31 24 145
162 43 73 53 36 25 158
156 42 72 53 37 26 166
144 32 68 53 33 23 149
143 36 67 53 30 23 138
147 38 67 53 37 27 146
150 43 70 53 35 26 151
143 35 67 53 32 24 141
157 47 73 53 36 26 155
143 34 71 53 31 23 145
143 47 82 53 33 26 150
144 39 72 53 35 25 144
143 34 69 53 33 22 147
143 36 74 53 37 26 150
153 42 77 53 35 24 160
146 40 71 53 32 25 146
146 32 70 53 29 24 147
175 37 69 54 33 26 155
143 39 68 54 32 25 145
143 37 74 54 31 26 138
138 37 70 54 32 24 142
143 38 67 54 31 24 148
132 30 65 54 30 22 132
143 42 75 54 33 25 134
139 30 64 54 30 22 136
143 30 61 54 30 21 143
140 35 69 54 33 24 137
166 51 79 54 37 28 163
166 53 79 54 36 28 165
142 35 69 54 30 24 139
164 51 77 54 36 28 162
162 40 76 54 36 28 165
164 45 72 54 33 27 158
168 52 77 54 36 28 164
162 46 75 54 36 28 165
143 37 71 54 35 24 156
141 33 68 54 31 25 143
133 29 66 54 31 22 136
143 50 78 54 33 26 143
143 38 70 54 31 26 146
144 44 75 54 35 26 145
144 41 74 54 34 24 149
139 34 65 54 32 25 144
144 44 77 54 35 25 141
144 36 71 54 31 23 140
162 45 74 54 36 27 165
168 44 77 54 38 27 176
162 52 81 54 36 28 171
143 43 74 54 34 28 145
138 38 74 54 32 25 140
138 48 81 54 33 27 140
143 35 69 54 32 22 142
138 48 83 54 34 26 143
162 41 73 54 36 26 161
132 30 64 54 31 22 134
138 35 69 54 31 23 140
163 57 82 54 37 30 160
139 30 64 54 29 23 140
144 40 71 54 32 25 140
143 30 63 54 31 22 145
144 34 64 54 32 25 144
137 33 65 54 30 22 138
163 45 75 54 36 27 166
144 37 70 54 32 24 143
137 44 83 54 33 28 138
137 42 74 54 32 26 135
144 33 77 54 34 24 142
144 41 77 54 35 25 144
144 34 66 54 33 23 149
139 32 75 54 34 25 140
144 42 74 54 35 24 146
144 33 71 54 33 22 146
143 32 65 54 30 22 143
144 50 82 54 34 26 146
144 35 70 54 30 23 140
143 45 75 54 32 25 140
143 34 67 54 30 23 145
175 60 80 54 40 30 177
144 36 66 54 32 25 145
142 34 65 54 32 25 144
143 31 61 54 34 22 146
131 31 66 54 32 23 131
144 40 73 54 33 24 140
134 32 66 54 29 24 132
166 45 75 54 35 28 167
137 40 74 54 33 24 139
140 41 76 54 34 27 137
163 53 79 54 37 28 168
145 36 69 54 32 25 143
142 35 63 54 32 22 144
145 35 64 54 33 23 144
145 38 76 54 33 25 144
142 41 71 54 32 24 145
142 31 65 54 30 23 144
142 48 83 54 35 26 144
145 34 70 54 31 27 143
145 31 67 54 32 24 143
137 37 69 54 32 25 134
137 38 71 54 30 22 137
140 32 69 54 28 21 137
144 42 73 54 32 24 144
144 36 68 54 32 25 138
134 30 64 54 31 21 128
168 53 76 54 39 29 172
145 33 70 54 32 22 145
163 48 79 54 38 28 157
163 46 74 54 40 29 171
161 49 79 54 36 27 165
142 38 71 54 33 25 148
161 47 73 54 36 27 167
145 39 71 54 33 25 151
140 37 72 54 31 23 135
161 43 80 54 36 25 168
142 37 72 54 32 24 145
145 35 68 54 32 24 146
171 70 93 54 40 33 173
142 33 70 54 30 22 138
163 45 72 54 37 26 158
145 42 72 54 33 24 148
145 45 76 54 34 26 159
142 41 74 54 31 24 139
137 42 76 54 31 22 136
142 39 69 54 33 23 142
142 41 77 54 32 26 140
161 47 71 54 35 26 165
164 45 79 54 35 26 149
153 60 87 54 34 20 146
160 42 76 54 38 29 163
145 50 82 54 36 28 149
145 36 72 54 36 25 146
145 44 76 54 34 26 138
140 46 79 54 32 26 140
142 36 69 54 30 24 136
160 43 74 54 35 26 167
145 36 68 54 34 25 140
136 41 74 54 31 24 138
145 32 69 54 33 24 157
142 32 57 54 29 24 140
144 30 65 54 31 21 142
160 48 74 54 35 27 161
142 36 72 54 34 24 141
144 37 71 54 31 23 150
160 40 71 54 32 27 153
166 56 85 54 38 28 168
136 34 81 54 31 22 140
136 30 65 54 28 22 135
145 49 88 54 33 26 142
145 43 73 54 33 26 140
160 47 74 54 35 24 157
140 35 70 54 34 22 155
160 38 66 54 36 28 160
142 31 64 54 31 23 139
141 42 78 54 34 25 142
146 37 75 54 33 25 146
146 31 64 54 32 23 146
140 36 70 54 33 24 138
140 37 69 54 31 24 142
146 42 74 54 32 24 147
146 37 73 54 31 25 146
146 32 68 54 30 23 147
164 53 77 54 37 28 158
140 34 73 54 31 24 141
141 35 70 54 34 24 143
136 37 74 54 30 25 134
146 45 78 54 35 26 157
160 56 86 54 36 29 154
172 46 77 54 37 27 168
141 48 83 54 33 27 138
129 28 65 54 30 23 133
146 45 72 54 33 25 148
135 30 68 54 31 22 154
141 36 72 54 33 24 136
141 41 73 54 33 24 138
141 34 69 54 33 23 144
160 48 82 54 37 29 162
146 59 87 54 34 28 148
135 30 67 54 31 22 139
141 40 75 54 32 24 145
172 52 79 54 34 29 172
164 54 83 54 38 30 168
159 54 79 54 38 28 162
140 32 64 54 29 24 142
146 32 65 54 31 24 142
146 35 69 54 33 23 142
135 30 68 54 31 21 136
141 35 68 54 33 24 137
159 46 77 54 35 26 162
141 34 64 54 31 23 140
141 30 67 54 31 23 147
165 47 73 54 35 27 165
162 43 70 54 34 27 158
162 47 73 54 35 26 160
133 30 62 54 30 22 127
146 49 79 54 31 26 144
146 34 70 54 34 23 150
144 52 83 54 33 27 145
135 34 69 54 31 21 133
163 47 81 54 38 28 162
146 58 88 54 34 30 144
146 37 73 54 35 24 150
143 37 70 54 32 25 140
146 45 67 54 31 22 139
127 30 63 54 29 22 131
143 35 68 54 33 25 150
147 41 75 54 36 26 151
159 42 71 54 35 26 161
160 56 85 54 36 29 163
147 32 68 54 32 21 157
156 43 74 54 34 25 154
159 45 76 54 36 28 161
156 50 85 54 37 27 160
153 40 74 54 32 25 152
147 40 71 54 31 25 142
153 50 75 54 35 27 155
153 39 70 54 36 27 158
153 37 70 54 32 25 150
153 46 80 54 36 26 158
147 38 76 54 34 26 151
156 49 77 54 37 29 157
153 47 78 54 34 27 155
152 37 69 54 32 25 148
152 39 73 54 35 25 146
152 55 80 54 38 29 158
159 48 80 54 33 27 161
153 54 86 54 37 25 154
152 45 75 54 34 27 155
156 42 74 54 38 29 164
147 35 68 54 31 25 153
147 36 70 54 35 22 145
152 49 79 54 34 27 158
147 41 74 54 35 26 153
153 51 81 54 33 25 152
153 45 74 54 33 27 153
147 37 67 54 33 26 156
147 37 69 54 34 25 163
147 55 87 54 37 30 151
153 40 71 54 34 24 160
147 41 73 54 33 26 142
153 42 73 54 33 25 158
153 41 70 54 34 27 148
154 41 70 54 35 26 155
149 38 70 54 37 27 165
159 45 77 54 40 30 161
156 43 75 54 36 26 154
152 40 67 54 32 25 150
154 58 85 54 35 30 148
147 40 74 54 34 25 152
154 42 77 54 34 27 148
147 44 76 54 34 25 150
147 40 73 54 35 25 146
154 41 71 54 33 26 150
152 41 70 54 35 27 151
152 48 76 54 36 29 152
158 51 93 54 39 28 161
158 42 68 54 34 26 161
158 43 76 54 35 26 160
152 50 78 54 38 28 155
152 42 71 54 36 25 153
154 40 73 54 31 26 152
148 40 74 54 33 26 149
158 39 73 54 32 24 144
154 36 65 54 33 24 148
152 36 69 54 34 27 145
152 54 87 54 37 28 151
152 44 74 54 33 27 152
154 52 83 54 36 27 164
148 33 67 54 32 26 145
152 45 73 54 35 26 152
152 54 92 54 37 30 153
151 40 71 54 35 24 150
151 36 70 54 36 26 155
151 41 70 54 31 25 150
158 41 73 54 33 25 160
151 38 67 54 32 25 153
154 43 73 54 33 26 158
158 77 100 54 37 33 160
151 41 73 54 31 27 153
148 34 69 54 31 24 152
148 33 66 54 31 23 147
158 45 74 54 35 25 160
148 34 67 54 32 25 149
151 40 72 54 36 25 156
151 41 75 54 35 26 155
149 35 70 54 34 25 147
151 44 75 54 37 26 150
148 45 78 54 34 27 148
154 42 74 54 37 27 167
148 43 73 54 32 24 150
148 39 69 54 32 24 150
154 43 75 54 36 28 152
149 53 85 54 36 30 156
151 51 85 54 36 29 159
151 42 72 54 34 25 158
151 37 70 54 33 24 158
155 45 76 54 34 27 170
155 42 74 54 36 26 162
148 39 75 54 33 24 158
157 51 78 54 36 28 162
151 39 69 54 34 24 151
148 39 71 54 33 25 152
155 48 79 54 34 28 158
151 31 66 54 33 21 160
151 47 80 54 34 27 151
157 45 78 54 35 26 160
157 47 76 54 33 29 154
150 36 68 54 31 25 152
150 40 78 54 35 25 153
151 33 68 54 30 23 146
157 42 71 54 34 27 160
150 45 75 54 35 25 155
157 58 82 54 37 29 160
157 50 80 54 37 27 161
148 40 71 54 33 24 151
148 34 65 54 30 23 133
148 50 81 54 35 26 151
157 38 73 54 34 26 156
151 41 75 54 34 26 158
157 42 72 54 33 27 157
155 42 73 54 34 25 157
148 37 65 54 31 24 152
151 40 72 54 36 27 151
155 38 74 54 36 28 160
148 45 80 54 33 26 150
150 38 75 54 34 26 160
150 40 74 54 33 25 152
150 43 73 54 32 25 148
150 40 71 54 34 28 150
157 67 90 54 35 31 164
156 42 74 54 35 25 161
149 61 86 54 35 30 150
150 49 85 54 33 26 152
150 33 62 54 32 24 145
150 36 67 54 33 25 146
156 55 80 54 37 27 162
156 42 71 54 34 25 156
150 44 70 54 33 26 144
157 44 78 54 35 27 155
149 44 74 54 34 25 154
149 44 75 54 32 26 150
149 39 66 54 33 26 156
150 33 63 54 31 24 150
156 41 74 54 36 27 153
156 42 71 54 35 26 158
154 41 74 54 34 26 156
152 40 72 54 38 27 159
156 47 77 54 37 26 160
156 51 82 54 36 29 157
153 40 74 54 34 25 150
150 44 79 54 33 26 153
149 37 71 54 32 24 150
153 44 74 54 34 27 156
155 40 71 54 33 26 158
156 40 76 54 35 25 161
150 53 68 54 32 24 154
150 38 68 54 36 25 163
153 35 67 54 34 26 156
144 37 72 55 23 33 144
144 33 65 55 30 24 142
149 39 71 55 35 25 150
149 39 71 55 34 27 162
149 38 70 55 30 22 147
148 60 87 55 35 29 154
149 55 81 55 36 30 145
149 41 72 55 33 26 148
148 53 86 55 33 27 146
148 34 67 55 30 21 148
145 34 66 55 34 25 155
148 36 71 55 33 23 144
145 42 75 55 34 25 148
149 50 80 55 39 27 153
149 44 71 55 33 26 148
149 33 67 55 31 24 146
149 42 72 55 33 25 154
144 38 71 55 34 26 149
143 34 66 55 33 24 155
149 41 71 55 33 24 154
144 44 76 55 35 26 141
149 59 91 55 34 27 155
143 32 67 55 33 23 143
144 44 77 55 33 25 145
150 43 74 55 34 25 133
144 32 68 55 31 24 143
148 39 73 55 35 26 150
143 39 71 55 32 30 145
144 45 79 55 37 26 150
143 34 68 55 32 24 145
143 34 69 55 32 23 144
144 38 72 55 34 22 151
144 31 77 55 34 24 145
148 47 78 55 35 28 152
150 59 89 55 35 29 147
148 48 83 55 36 30 145
143 37 72 55 31 23 147
142 43 75 55 31 25 143
148 55 85 55 35 28 152
142 42 72 55 35 27 160
142 37 68 55 33 25 142
142 36 68 55 31 25 157
142 42 76 55 32 25 142
150 48 76 55 35 26 154
148 47 77 55 34 28 150
144 41 74 55 34 27 142
144 42 72 55 29 26 142
150 41 73 55 34 27 160
142 38 72 55 33 25 142
148 51 90 55 34 27 141
145 54 92 55 35 28 143
149 34 67 55 31 25 147
144 40 70 55 32 23 140
142 34 63 55 33 23 137
150 40 72 55 33 24 153
142 34 66 55 32 25 142
148 43 73 55 37 28 152
142 44 77 55 34 27 140
148 51 83 55 35 28 144
145 50 80 55 34 27 145
148 41 75 55 33 26 146
142 38 72 55 32 23 137
148 45 81 55 34 26 143
149 41 74 55 34 27 148
148 48 72 55 34 24 159
141 35 68 55 30 24 141
141 39 68 55 35 25 142
145 35 68 55 30 23 140
151 37 68 55 34 23 152
145 35 69 55 34 24 141
140 35 67 55 32 26 145
148 59 90 55 37 28 158
148 46 79 55 30 26 145
140 35 70 55 31 24 144
151 42 74 55 35 27 152
148 48 81 55 38 28 148
145 43 78 55 34 26 145
151 44 71 55 33 27 151
145 39 70 55 32 25 145
140 35 70 55 31 24 140
140 31 68 55 29 23 144
140 32 66 55 32 23 146
151 39 72 55 32 26 152
145 39 70 55 32 25 148
140 38 70 55 33 22 148
151 44 76 55 32 27 148
140 30 66 55 32 22 150
148 54 82 55 36 28 145
140 34 68 55 34 23 154
144 39 74 55 33 23 142
149 35 70 55 31 23 147
143 48 81 55 33 25 147
139 49 85 55 34 25 146
151 45 76 55 35 25 156
151 46 76 55 35 26 153
139 30 68 55 34 25 140
143 34 66 55 33 26 144
151 34 65 55 30 23 148
148 48 77 55 34 27 149
139 31 66 55 32 23 138
151 40 69 55 32 27 150
148 35 73 55 28 23 149
139 35 67 55 31 25 141
145 46 78 55 36 28 153
151 44 74 55 33 26 150
145 30 64 55 35 21 157
139 33 64 55 31 23 141
148 45 72 55 36 26 148
152 46 72 55 36 24 152
152 48 78 55 35 26 151
152 43 76 55 35 25 151
145 33 69 55 32 25 140
152 38 68 55 33 26 150
145 35 70 55 32 23 147
138 31 67 55 33 25 139
152 41 74 55 32 24 154
145 40 74 55 32 25 147
138 31 70 55 31 24 138
146 37 72 55 31 24 140
147 37 70 55 34 26 150
138 41 74 55 33 22 138
147 39 71 55 32 25 155
147 42 80 55 33 24 146
147 38 70 55 37 26 160
146 38 67 55 33 24 145
146 36 66 55 30 24 140
147 44 77 55 36 24 142
152 52 78 55 33 28 157
147 41 72 55 33 25 151
138 41 76 55 33 24 140
137 42 78 55 34 25 138
152 62 92 55 34 30 155
147 36 69 55 36 28 162
137 31 68 55 30 22 128
152 38 70 55 36 25 164
137 31 66 55 28 23 132
137 39 72 55 33 27 133
136 31 65 55 30 23 137
136 41 79 55 35 26 146
147 48 81 55 34 27 156
147 50 77 55 34 28 146
135 27 66 55 34 24 140
146 40 75 55 36 26 150
146 42 79 55 35 25 150
152 43 72 55 34 26 160
147 38 72 55 32 24 148
135 31 66 55 32 23 132
146 40 79 55 36 28 145
147 40 75 55 36 27 150
152 43 78 55 36 25 154
146 48 78 55 33 26 148
143 50 82 55 34 27 144
152 42 71 55 36 25 156
147 39 70 55 34 24 147
147 40 73 55 32 24 151
152 38 66 55 33 24 146
147 38 67 55 34 27 152
146 51 84 55 35 26 144
152 38 68 55 34 27 155
147 49 80 55 35 25 145
152 40 73 55 35 28 167
146 43 78 55 33 27 150
146 33 65 55 31 23 144
146 53 86 55 36 29 150
153 56 84 55 35 30 152
135 30 65 55 33 24 123
147 39 77 55 37 24 165
147 36 73 55 33 24 151
134 38 73 55 32 21 137
146 48 78 55 36 29 150
147 42 77 55 35 24 145
150 35 68 55 33 25 150
134 35 72 55 30 23 130
143 36 68 55 32 25 144
153 38 68 55 36 25 152
133 30 65 55 31 21 152
147 45 77 55 32 24 152
133 35 64 55 30 23 131
147 34 68 55 32 23 148
130 32 66 55 32 23 148
143 37 67 55 30 22 138
151 56 89 55 35 28 148
156 54 80 55 35 28 154
179 79 99 55 43 30 176
166 86 104 55 35 33 164
161 50 79 55 35 26 165
161 50 72 55 36 25 158
161 40 70 55 32 26 156
161 75 99 55 40 31 171
161 54 79 55 35 28 158
177 60 81 55 39 31 178
175 63 85 55 37 31 177
161 65 92 55 37 29 162
161 45 74 55 37 27 167
156 38 71 55 35 24 159
160 63 92 55 39 29 167
153 57 89 55 33 31 157
153 57 88 55 37 30 157
153 45 78 55 34 26 153
174 47 75 55 38 31 169
153 41 71 55 31 26 148
153 42 72 55 34 26 151
153 40 74 55 33 26 153
174 52 80 55 38 30 174
166 55 83 55 36 30 173
160 60 86 55 37 28 171
174 53 81 55 35 30 169
153 45 79 55 32 26 148
160 49 79 55 34 28 163
173 57 86 55 42 29 179
160 50 84 55 38 30 166
154 47 76 55 35 30 153
173 69 87 55 43 32 180
157 50 80 55 35 26 159
173 81 99 55 37 32 180
172 50 79 55 36 28 170
172 60 84 55 39 28 178
160 48 81 55 34 29 164
172 59 84 55 37 30 174
172 44 73 55 35 28 165
171 50 79 55 38 30 165
161 52 82 55 37 28 168
160 47 71 55 34 26 164
154 42 74 55 34 25 156
161 51 78 55 36 30 166
170 60 86 55 40 29 175
170 53 84 55 38 27 168
160 36 67 55 34 23 160
170 56 78 55 39 29 168
154 44 75 55 35 27 158
154 59 84 55 37 29 160
160 49 76 55 36 26 160
160 51 81 55 37 31 166
170 53 77 55 42 30 170
160 53 82 55 31 30 159
154 50 78 55 34 27 160
161 53 84 55 40 28 164
170 47 75 55 37 30 172
162 46 73 55 32 27 162
160 46 74 55 35 28 161
159 47 79 55 33 28 147
162 55 81 55 39 29 158
170 70 91 55 40 33 172
162 43 73 55 37 28 159
162 48 74 55 38 28 166
154 52 84 55 37 29 148
154 65 98 55 39 31 166
154 44 75 55 35 26 151
154 54 82 55 37 27 162
162 48 72 55 36 30 162
159 49 80 55 39 28 166
163 60 87 55 36 29 160
163 50 78 55 37 29 165
159 63 96 55 37 29 160
159 47 74 55 32 26 159
170 56 80 55 39 30 171
155 42 77 55 37 28 151
170 51 79 55 39 29 166
155 64 96 55 38 32 157
159 70 99 55 36 30 169
163 51 83 55 40 30 163
155 47 78 55 33 25 152
169 58 84 55 40 30 170
159 53 76 55 34 29 159
169 53 78 55 39 29 170
155 60 89 55 38 30 155
163 48 76 55 38 28 165
159 50 75 55 36 29 161
159 42 71 55 37 25 160
169 55 77 55 35 29 166
163 48 77 55 34 28 158
159 44 73 55 37 30 174
169 47 79 55 37 26 171
159 47 82 55 37 30 157
163 50 81 55 28 31 167
163 50 79 55 40 30 170
159 48 80 55 35 27 162
159 44 70 55 33 27 160
164 49 82 55 39 29 163
155 37 68 55 31 23 142
168 38 84 55 43 31 183
155 48 81 55 36 27 160
168 51 78 55 40 29 171
155 42 72 55 34 25 153
164 50 79 55 35 28 164
155 51 78 55 35 30 134
159 50 77 55 35 27 160
164 52 77 55 37 29 171
158 80 99 55 39 34 164
155 31 72 55 34 25 158
155 47 79 55 35 28 155
155 50 82 55 36 29 161
168 48 78 55 40 30 172
168 64 87 55 38 30 170
159 57 86 55 37 29 165
164 92 99 55 43 32 166
158 67 91 55 36 30 162
155 65 86 55 39 31 164
155 44 76 55 37 26 155
158 59 84 55 39 30 164
168 50 80 55 39 29 165
156 44 74 55 33 26 150
158 49 77 55 36 26 164
168 55 83 55 40 30 178
156 66 93 55 39 29 152
156 46 75 55 36 26 158
157 43 73 55 32 24 154
166 54 81 55 33 28 169
164 50 78 55 38 26 160
167 72 93 55 40 32 170
167 54 80 55 42 27 172
156 44 70 55 32 28 158
158 47 78 55 33 26 159
156 40 76 55 36 25 172
158 42 71 55 36 28 160
164 45 76 55 37 30 168
164 52 80 55 36 29 170
156 46 76 55 35 26 158
156 39 70 55 33 25 153
158 59 80 55 35 27 160
156 61 85 55 34 27 162
158 47 74 55 35 26 157
156 59 84 55 34 28 153
167 52 83 55 38 29 164
157 39 69 55 37 30 160
164 46 72 55 36 28 161
156 38 73 55 37 25 165
166 54 77 55 38 38 164
156 49 77 55 35 27 159
166 66 87 55 41 33 174
157 44 74 55 33 27 155
156 55 87 55 36 29 160
166 44 70 55 32 26 170
156 46 75 55 38 29 160
166 54 80 55 39 30 170
156 37 70 55 33 24 160
156 40 70 55 39 28 165
157 64 94 55 42 31 160
165 60 85 55 34 30 162
156 47 79 55 34 26 154
157 44 72 55 35 27 148
165 52 80 55 36 28 170
161 65 90 55 37 28 155
166 50 78 55 37 29 167
166 60 86 55 34 26 169
162 47 74 55 35 38 157
165 47 74 55 38 29 170
159 40 74 55 37 28 158
163 47 76 55 33 28 162
158 57 83 55 36 32 163
165 59 70 55 37 29 157
165 48 76 55 36 26 166
164 51 77 55 36 28 164
157 35 67 55 35 22 166
157 50 76 55 38 28 164
