id,PROV,FATTURATO,DIPENDEN,UTILE,MEZZITER,COSTOLAV
76,PA,2913,14,17,1176,319
77,CL,3369,24,689,3485,150
78,EN,3276,,-17,366,455
79,SR,4553,20,-1989,8810,638
80,PA,3558,25,96,35,617
81,PA,6298,50,136,119,1619
82,RG,3129,6,45,527,267
83,PA,4038,22,-88,573,612
84,SR,6749,37,25,45244,3278
85,RG,8187,31,28,479,845
86,SR,2123,2,5,0,49
87,RG,7686,6,-150,1283,313
88,PA,962333,4637,-659630,813330,249153
89,CT,2669,6,-147,1110,121
90,ME,4114,50,12,5396,1756
91,CT,4083,15,-63,2,421
92,CT,12176,45,-18,1215,1775
93,CT,2620,2,-30,277,82
94,SR,2158,42,24,1347,1264
95,PA,16772,47,27,2674,2359
96,PA,2519,,10,0,341
97,PA,32043,,-1673,14300,0
98,AG,5620,,0,868,2533
99,TP,13635,22,21,2316,911
100,PA,4427,,93,656,2050
101,ME,4320,37,87,0,1130
102,TP,1925,13,28,1788,525
103,PA,2707,2,-254,1398,20
104,CT,3834,,1,431,460
105,AG,5154,15,-25,2492,404
107,ME,5127,,5,1203,420
108,PA,3198,,-230,0,0
109,CT,3546,,-197,1486,608
110,RG,14453,20,103,1155,399
111,SR,2969,21,29,1824,1760
112,CT,3139,9,91,83,651
113,CT,3123,1,-8,0,114
114,PA,36166,100,31,893,4043
115,CT,3435,6,-18,432,254
116,CT,3765,,10,1,0
117,PA,10861,2,262,101,89
118,RG,4630,31,288,1078,896
119,PA,2104,11,86,103,330
120,CT,26961,64,300,6369,1899
121,RG,2955,1,1,241,60
122,ME,2543,14,-54,1111,356
123,CT,9626,2,74,0,107
124,ME,19081,82,-21,68235,5843
125,TP,6353,26,-48,4557,1087
126,CT,22520,13,-676,1638,501
127,SR,23127,43,3257,67,2730
128,TP,9096,12,80,1490,2197
129,ME,10876,200,11,1965,2165
130,RG,2811,4,42,113,141
131,CT,3511,17,356,51,739
132,EN,15720,30,8,806,1217
133,PA,14546,1,25,798,342
134,PA,8466,71,157,1959,2443
135,TP,3196,30,31,3255,839
136,PA,111588,23,-1296,37527,10609
137,SR,4440,117,-15,1781,3718
138,TP,13592,57,75,3345,2626
139,CT,4646,66,-43,1120,1893
140,PA,10407,52,74,1803,1702
141,PA,4448,2,1,1063,965
142,AG,10699,6,121,63,304
143,PA,3958,30,-163,193,1687
144,PA,18305,30,15,15,766
145,CT,5649,3,273,175,39
146,SR,4175,15,120,280,490
147,TP,2187,12,-438,2936,0
148,CT,4904,42,79,0,1431
149,CT,7432,20,10,2033,793
150,CT,3119,25,319,31,187
151,PA,2961,4,18,3,196
152,PA,6260,43,83,8174,1686
153,CT,2001,2,52,0,0
154,PA,5314,27,-82,0,739
155,CL,3852,7,4,675,228
156,CT,8910,23,-32,9408,556
157,CT,6546,28,20,2458,206
158,RG,2251,12,1,1226,355
159,PA,2676,29,141,0,1451
160,CT,23086,12,-11,4434,652
161,RG,8044,76,1379,901,2395
162,CT,5647,9,-51,21,177
163,CT,4538,30,34,338,827
164,PA,3353,11,-28,287,277
165,PA,31141,141,-1219,36371,4873
166,CT,5777,39,77,530,697
167,AG,3806,38,237,1312,1645
168,CT,6838,7,26,2616,271
169,ME,2901,34,-577,3408,965
170,CL,7586,7,12,484,306
171,CT,24060,105,-118,4336,4334
172,PA,7193,40,130,9232,1903
173,CT,14317,23,28,3560,490
174,CT,7299,53,993,970,1242
175,CL,3377,5,20,0,495
176,TP,2768,7,71,906,103
177,SR,4247,107,-104,3130,1291
178,AG,12929,36,351,697,1325
179,TP,18277,41,218,589,1432
180,PA,2271,1,25,407,109
181,PA,2992,11,37,420,617
182,CT,149161,33,0,29231,1368
183,CT,44638,205,9863,8252,7311
184,PA,23761,142,1053,2283,5342
185,SR,3660,4,3,141,297
186,CT,40767,37,263,5469,1914
187,PA,2859,9,-152,932,296
188,PA,7495,12,87,2895,352
189,CT,4392,4,-17,0,0
190,PA,16173,33,124,3754,1154
191,RG,5276,12,235,425,221
192,TP,3893,9,23,0,249
193,SR,3169,39,52,1874,876
194,ME,2375,31,-139,861,1305
195,CT,9758,11,-33,2111,358
196,RG,9527,32,267,0,544
197,PA,2567,3,-60,1485,286
198,PA,3226,6,-10,85,229
199,CT,3812,3,31,1262,133
200,AG,2694,23,-376,5009,866
201,CT,4251,9,10,96,213
202,CT,4205,7,-936,5868,659
203,CT,4665,22,168,1800,736
204,PA,8296,10,-17,541,2067
205,PA,9398,19,-48,325,661
206,ME,5200,10,-69,466,361
207,CT,2865,22,2,973,546
208,CT,2951,5,-2781,40,258
209,AG,4050,10,0,1537,520
210,CT,20650,5,575,1,172
211,ME,11256,7,77,565,578
212,TP,2127,16,31,492,828
213,CT,7540,22,-85,3223,960
214,AG,2864,9,-82,0,150
215,CT,3216,6,3,1322,216
216,RG,4293,6,40,514,297
217,PA,2302,5,63,102,611
218,PA,7295,16,142,0,2240
219,TP,11735,16,198,1,785
220,PA,8291,8,2,1097,187
221,PA,4194,6,-21,5122,410
222,PA,4000,6,163,598,899
223,PA,7783,8,-127,795,362
